number,values0,values1,values2,values3,sqrtPriceX96,tick,liquidity,feeGrowthGlobal0X128,feeGrowthGlobal1X128,position_token_id,position_liquidity,position_tick_lower,position_tick_upper,position_amount0,position_amount1,position_fees0_cumulative,position_fees1_cumulative
18298081,527764237689663909522763,1000000000001485253210,0,0,3406050630791231974651774555,-62939,114276693690738244295996,2191355284850288656258362602793006558838,3705903201336554867054382462251522867,-1,116347107904358683412131,-67400,-58600,527764237690367014999183,1000000000000000000000,0,0
18300481,546926512136165164820435,964833762314113634305,199603965827734382703,11160083489871623,3382103697818900233457697741,-63080,114276693690738244295996,2191939069966756712781949143364816751605,3705935841422702006561177513240912776,-1,116347107904358683412131,-67400,-58600,527764237690367014999183,1000000000000000000000,0,0
18302881,533733452413325565631156,988992127421354143497,290012175888953406664,422090272338559019,3398554668636058633067922898,-62983,114277757346106109815320,2192203488397630012522539968409722147600,3707137695940784626440756669712966640,-1,116347107904358683412131,-67400,-58600,527764237690367014999183,1000000000000000000000,0,0
18305281,543004673318102793174521,971990741989092159860,383660871896804189931,422090272338559019,3386977341513306518832812368,-63052,114277757346106109815320,2192477384332910214529536977902007043348,3707137695940784626440756669712966640,-1,116347107904358683412131,-67400,-58600,527764237690367014999183,1000000000000000000000,0,0
18307681,593251751489955617952286,863040866264169784725,624609433243500462159,111660347737711221,3318578787923392760299227544,-63460,109952741882535600107391,2194322195158035285122445185973012118769,3707467489580265979652764736497199995,-1,115211583459152058070074,-67400,-58600,537705056581260482183168,982674158862883610752,383660871896804189931,422090272338559019
18310081,590719760549494238385242,867487252770859365252,770671848219877664557,413084076583900969,3321636458186887869005491773,-63441,109952741882535600107391,2194753596782716295023431588945117580583,3708357757527449278429953878267984725,-1,115211583459152058070074,-67400,-58600,537705056581260482183168,982674158862883610752,383660871896804189931,422090272338559019
18312481,604758095778054035379205,842937467363819635780,1065237318748847418436,683083636289905668,3304754176653027471946270798,-63543,109952741882535600107391,2195623608568990510776526928194020873959,3709155212839544220091449066911847867,-1,115211583459152058070074,-67400,-58600,537705056581260482183168,982674158862883610752,383660871896804189931,422090272338559019
18314881,605457279686265560861419,829326711370727594113,948845033205530483738,394599686629651338,3197369243773323935143798718,-64204,56198409405503270799560,2199339182830414593207564235050289332195,3710700422423720389217274462498165289,-1,86897801261171599397693,-69600,-57600,544352079345664223346688,947106983683156421376,1448898190645651608367,1105173908628464687
18317281,530398380427802802494900,955986145793054205848,3509752817811785320058,6142097587968459730,3312849659948834456554043771,-63494,11791792115828004689250,2209367420021284158572625451688337589793,3733207000971808355873117019878232612,-1,86897801261171599397693,-69600,-57600,544352079345664223346688,947106983683156421376,1448898190645651608367,1105173908628464687
18319681,556554378392477637628024,910823050146819449183,3839194472433155335754,6254416089622933817,3271672679293675028973521885,-63744,11791792115828004689250,2210657477817568136533580545385644642987,3733646828044959809328034641790336589,-1,86897801261171599397693,-69600,-57600,544352079345664223346688,947106983683156421376,1448898190645651608367,1105173908628464687
